
Type,Seq,Time,Elapsed,Duration,Request,Request Details,Raw Data,I/O,C:I:E,Device Object,Device Name,Driver Name,IRP,Status
URB,0119-0118,16:41:11.661,4.793065 s,5 us,Get Descriptor from Device,Cfg ind:0,09 02 22 00 01 01 00 A0...,in,,FFFFFA800AB72A00h,00000081,usbccgp,FFFFFA800AB94C10h,Success (Success),09 02 22 00 01 01 00 A0 64
URB,0120,16:41:11.661,4.793071 s,,Get Descriptor from Device,Cfg ind:0,,in,,FFFFFA800AB72A00h,00000081,usbccgp,FFFFFA800ABB1C10h,
URB,0121-0120,16:41:11.661,4.793074 s,3 us,Get Descriptor from Device,Cfg ind:0,09 02 22 00 01 01 00 A0...,in,,FFFFFA800AB72A00h,00000081,usbccgp,FFFFFA800ABB1C10h,Success (Success),09 02 22 00 01 01 00 A0 64 09 04 00 00 01 03 00 00 00 09 21 11 01 00 01 22 25 00 07 05 81 03 20 00 01
URB,0122,16:41:11.661,4.793081 s,,Select Configuration,1,,,,FFFFFA800AB72A00h,00000081,usbccgp,FFFFFA800ABA1910h,
URB,0123-0122,16:41:11.661,4.793086 s,6 us,Select Configuration,1,,,,FFFFFA800AB72A00h,00000081,usbccgp,FFFFFA800ABA1910h,Success (Success)
URB,0124,16:41:11.661,4.793093 s,,Class Interface,Set Idle,,out,,FFFFFA800AB72A00h,00000081,usbccgp,FFFFFA800B948C10h,
URB,0125,16:41:11.661,4.793096 s,,Class Interface,Set Idle,,out,,FFFFFA8009939060h,USBPDO-6,usbhub,FFFFFA800B948C10h,
URB,0126-0125,16:41:11.661,4.793263 s,167 us,Control Transfer,Set Idle,,out,--:--:00,FFFFFA8009939060h,USBPDO-6,usbhub,FFFFFA800B948C10h,Success (Success)
URB,0127-0124,16:41:11.661,4.793265 s,172 us,Control Transfer,Set Idle,,out,--:--:00,FFFFFA800AB72A00h,00000081,usbccgp,FFFFFA800B948C10h,Success (Success)
URB,0128,16:41:11.661,4.793284 s,,Get Descriptor from Interface,Report,,in,,FFFFFA800AB72A00h,00000081,usbccgp,FFFFFA800B72A700h,
URB,0129,16:41:11.661,4.793289 s,,Get Descriptor from Interface,Report,,in,,FFFFFA8009939060h,USBPDO-6,usbhub,FFFFFA800B72A700h,
URB,0130-0129,16:41:11.661,4.793640 s,351 us,Control Transfer,Get Descriptor (Report),06 C0 FF 09 01 A1 01 06...,in,--:--:00,FFFFFA8009939060h,USBPDO-6,usbhub,FFFFFA800B72A700h,Success (Success),06 C0 FF 09 01 A1 01 06 C1 FF 15 00 26 FF 00 75 08 09 F0 95 20 81 02 09 F1 95 20 91 02 09 F2 96 02 02 B1 02 C0
URB,0131-0128,16:41:11.661,4.793652 s,368 us,Control Transfer,Get Descriptor (Report),06 C0 FF 09 01 A1 01 06...,in,--:--:00,FFFFFA800AB72A00h,00000081,usbccgp,FFFFFA800B72A700h,Success (Success),06 C0 FF 09 01 A1 01 06 C1 FF 15 00 26 FF 00 75 08 09 F0 95 20 81 02 09 F1 95 20 91 02 09 F2 96 02 02 B1 02 C0
PnP,0132-0113,16:41:11.661,4.793675 s,667 us,Start Device,,,,,FFFFFA800ABBDB30h,_HID00000006,HidUsb,FFFFFA800AB91010h,Success
PnP,0133,16:41:11.661,4.793691 s,,Query Capabilities,,,,,FFFFFA800ABBDB30h,_HID00000006,HidUsb,FFFFFA80097F6560h,
PnP,0134,16:41:11.661,4.793694 s,,Query Capabilities,,,,,FFFFFA800AB72A00h,00000081,usbccgp,FFFFFA80097F6560h,
PnP,0135-0134,16:41:11.661,4.793697 s,3 us,Query Capabilities,,,,,FFFFFA800AB72A00h,00000081,usbccgp,FFFFFA80097F6560h,Success
PnP,0136-0133,16:41:11.661,4.793699 s,8 us,Query Capabilities,,,,,FFFFFA800ABBDB30h,_HID00000006,HidUsb,FFFFFA80097F6560h,Success
PnP,0137,16:41:11.661,4.793723 s,,Query Pnp Device State,,,,,FFFFFA800ABBDB30h,_HID00000006,HidUsb,FFFFFA800AB7FB80h,
PnP,0138,16:41:11.661,4.793726 s,,Query Pnp Device State,,,,,FFFFFA800AB72A00h,00000081,usbccgp,FFFFFA800AB7FB80h,
PnP,0139-0138,16:41:11.661,4.793727 s,2 us,Query Pnp Device State,,,,,FFFFFA800AB72A00h,00000081,usbccgp,FFFFFA800AB7FB80h,Success
PnP,0140-0137,16:41:11.661,4.793729 s,6 us,Query Pnp Device State,,,,,FFFFFA800ABBDB30h,_HID00000006,HidUsb,FFFFFA800AB7FB80h,Success
PnP,0141,16:41:11.661,4.793738 s,,Query Device Relations,Bus Relations,,,,FFFFFA800ABBDB30h,_HID00000006,HidUsb,FFFFFA800AF027B0h,
PnP,0142,16:41:11.661,4.793763 s,,Query Device Relations,Bus Relations,,,,FFFFFA800AB72A00h,00000081,usbccgp,FFFFFA800AF027B0h,
PnP,0143-0142,16:41:11.661,4.793765 s,2 us,Query Device Relations,Bus Relations,,,,FFFFFA800AB72A00h,00000081,usbccgp,FFFFFA800AF027B0h,Success
PnP,0144-0141,16:41:11.661,4.793769 s,31 us,Query Device Relations,Bus Relations,,,,FFFFFA800ABBDB30h,_HID00000006,HidUsb,FFFFFA800AF027B0h,Success
PnP,0145,16:41:11.661,4.793788 s,,Query ID,Device ID,,,,FFFFFA800AB72A00h,00000081,usbccgp,FFFFFA800ABCEB40h,
PnP,0146,16:41:11.661,4.793790 s,,Query ID,Device ID,,,,FFFFFA800AB6BA00h,00000080,usbccgp,FFFFFA800ABCEB40h,
PnP,0147,16:41:11.661,4.793792 s,,Query ID,Device ID,,,,FFFFFA8009939060h,USBPDO-6,usbhub,FFFFFA800ABCEB40h,
PnP,0148-0147,16:41:11.661,4.793796 s,3 us,Query ID,Device ID,,,,FFFFFA8009939060h,USBPDO-6,usbhub,FFFFFA800ABCEB40h,Success
PnP,0149-0146,16:41:11.661,4.793797 s,7 us,Query ID,Device ID,,,,FFFFFA800AB6BA00h,00000080,usbccgp,FFFFFA800ABCEB40h,Success
PnP,0150-0145,16:41:11.661,4.793801 s,13 us,Query ID,Device ID,,,,FFFFFA800AB72A00h,00000081,usbccgp,FFFFFA800ABCEB40h,Success
PnP,0151,16:41:11.661,4.793865 s,,Query ID,Hardware IDs,,,,FFFFFA800AB72A00h,00000081,usbccgp,FFFFFA800B948B40h,
